location,age,total,roof
CentralLuzon,65,0,Predominantly Strong Material
MetroManila,75,3,Predominantly Strong Material
DavaoRegion,54,4,Predominantly Strong Material
Visayas,49,3,Predominantly Strong Material
MetroManila,74,3,Predominantly Strong Material
Visayas,59,6,Predominantly Strong Material
MetroManila,54,5,Predominantly Strong Material
Visayas,41,5,Predominantly Strong Material
Visayas,50,6,Predominantly Strong Material
CentralLuzon,59,4,Predominantly Strong Material
CentralLuzon,72,2,Predominantly Strong Material
MetroManila,36,3,Predominantly Strong Material
CentralLuzon,42,7,Predominantly Strong Material
DavaoRegion,39,4,Predominantly Light/Salvaged Material
CentralLuzon,65,5,Predominantly Strong Material
DavaoRegion,56,4,Predominantly Strong Material
Visayas,57,2,Predominantly Light/Salvaged Material
IlocosRegion,59,2,Predominantly Strong Material
Visayas,66,2,Predominantly Strong Material
IlocosRegion,47,5,Predominantly Light/Salvaged Material
MetroManila,66,10,Predominantly Strong Material
MetroManila,36,4,Predominantly Light/Salvaged Material
Visayas,47,6,Predominantly Strong Material
DavaoRegion,53,4,Predominantly Strong Material
Visayas,63,1,Predominantly Strong Material
IlocosRegion,47,5,Predominantly Strong Material
Visayas,60,3,Predominantly Strong Material
MetroManila,76,0,Predominantly Strong Material
DavaoRegion,76,1,Predominantly Strong Material
Visayas,37,2,Predominantly Strong Material
Visayas,61,0,Predominantly Light/Salvaged Material
Visayas,56,9,Predominantly Strong Material
MetroManila,24,3,Predominantly Strong Material
Visayas,57,1,Predominantly Light/Salvaged Material
Visayas,70,7,Predominantly Strong Material
MetroManila,55,3,Predominantly Strong Material
Visayas,62,5,Predominantly Light/Salvaged Material
CentralLuzon,55,5,Predominantly Strong Material
DavaoRegion,29,2,Predominantly Strong Material
CentralLuzon,54,3,Predominantly Strong Material
IlocosRegion,70,4,Predominantly Light/Salvaged Material
IlocosRegion,53,4,Predominantly Strong Material
CentralLuzon,43,5,Predominantly Strong Material
MetroManila,56,3,Predominantly Strong Material
Visayas,38,10,Predominantly Light/Salvaged Material
MetroManila,39,1,Predominantly Strong Material
Visayas,48,1,Predominantly Strong Material
Visayas,77,7,Predominantly Strong Material
Visayas,67,1,Predominantly Strong Material
DavaoRegion,50,8,Predominantly Strong Material
Visayas,62,0,Predominantly Strong Material
IlocosRegion,74,3,Predominantly Strong Material
MetroManila,49,3,Predominantly Light/Salvaged Material
MetroManila,60,6,Predominantly Strong Material
DavaoRegion,48,2,Predominantly Strong Material
MetroManila,50,1,Predominantly Light/Salvaged Material
MetroManila,49,1,Predominantly Strong Material
Visayas,51,11,Predominantly Strong Material
DavaoRegion,65,2,Predominantly Strong Material
DavaoRegion,44,4,Predominantly Strong Material
DavaoRegion,47,5,Predominantly Strong Material
MetroManila,50,1,Predominantly Strong Material
IlocosRegion,70,0,Predominantly Strong Material
CentralLuzon,54,3,Predominantly Light/Salvaged Material
Visayas,45,8,Predominantly Strong Material
CentralLuzon,40,5,Predominantly Strong Material
Visayas,65,6,Predominantly Strong Material
DavaoRegion,48,2,Predominantly Strong Material
MetroManila,39,3,Predominantly Strong Material
CentralLuzon,53,3,Predominantly Strong Material
Visayas,55,4,Predominantly Strong Material
Visayas,48,5,Predominantly Strong Material
Visayas,30,2,Predominantly Strong Material
Visayas,32,4,Predominantly Strong Material
MetroManila,56,0,Predominantly Strong Material
CentralLuzon,32,3,Predominantly Strong Material
Visayas,53,0,Predominantly Strong Material
MetroManila,42,3,Predominantly Strong Material
CentralLuzon,63,7,Predominantly Strong Material
DavaoRegion,69,0,Predominantly Strong Material
Visayas,74,1,Predominantly Strong Material
CentralLuzon,48,7,Predominantly Strong Material
IlocosRegion,84,1,Predominantly Strong Material
CentralLuzon,51,3,Predominantly Strong Material
IlocosRegion,50,7,Predominantly Light/Salvaged Material
